Apostador_ID   N_Ventanilla   Caballo_ID   Cotizacion   Cantidad
16 1 5 5.000000 349.001495
13 3 5 1.011428 50.590191
8 2 1 404.591675 137.459259
7 5 4 542.050903 908.080627
15 6 5 3.619974 208.931534
10 4 2 1659.063110 224.206100
17 8 3 1883.269165 823.442139
16 10 3 3.283082 253.958710
6 7 3 2.745426 535.368103
19 9 2 15.523728 327.919312
18 11 2 6.913364 76.915047
16 12 3 2.417243 690.637451
17 1 4 5.050718 61.259182
9 3 4 4.794990 348.806213
5 2 4 3.791525 27.702148
11 5 5 8.251166 476.172607
1 6 1 39.762238 261.121826
11 4 5 5.311407 981.154907
1 8 1 16.887003 254.355820
6 10 4 5.198866 136.479935
11 7 1 10.916287 982.972839
2 9 1 4.961505 721.096497
15 11 5 4.278312 513.385803
10 12 5 3.626031 932.328247
4 1 2 16.329659 168.173279
1 3 2 13.099898 678.529968
4 2 4 7.506801 719.305359
2 5 5 3.374843 200.993759
6 6 5 3.246307 207.718781
21 4 2 8.304128 457.929840
2 8 2 6.575268 941.514282
4 10 2 4.750216 7.473538
21 7 1 5.797265 706.397827
19 9 3 6.238649 175.746414
3 11 3 5.867432 323.599945
8 12 4 6.753610 358.889893
3 1 2 5.283082 505.822357
2 3 1 5.136542 587.839600
2 2 2 4.817336 858.900269
7 5 3 6.130063 854.372437
15 6 5 4.600938 902.175476
1 4 5 3.927421 79.224403
2 8 5 3.880116 76.156677
15 10 4 7.456152 954.231506
4 7 4 5.703851 62.255081
19 9 1 5.507738 427.929565
6 11 3 5.615862 527.427551
7 12 5 4.232107 621.870850
13 1 3 5.182786 692.414490
3 3 3 4.589051 993.414062
1 2 2 5.502953 661.349609
20 5 1 5.891908 679.193970
18 6 2 5.034733 768.043762
10 4 2 4.488947 441.284607
5 8 2 4.237337 631.244812
7 10 2 3.934602 506.097748
17 7 4 7.564503 744.373291
16 9 2 3.832510 65.376701
7 11 5 4.977163 670.101868
16 12 4 6.604162 766.267517
21 1 4 5.760267 811.803589
4 3 2 4.114271 748.224243
9 2 5 4.923133 583.003113
16 5 4 5.330948 22.537926
1 6 1 6.613811 242.575180
8 4 4 5.355422 566.714783
4 8 2 4.000845 353.846588
10 10 1 6.525603 109.793007
8 7 1 6.406921 422.393646
21 9 4 5.111613 150.548798
13 11 3 5.675568 148.630890
18 12 2 3.973486 318.815430
17 1 1 6.105906 740.326843
11 3 4 5.200281 489.321747
15 2 4 4.912004 520.031677
10 5 5 5.185518 894.711670
16 6 3 6.052357 41.291409
17 4 5 4.707551 487.198364
19 8 5 4.488225 854.303406
15 10 3 6.239262 835.020935
5 7 3 5.604881 422.765167
12 9 4 5.108214 278.885529
15 11 1 6.272215 82.576042
8 12 4 4.974122 601.880493
2 1 2 4.579745 278.083435
1 3 4 4.726317 742.429810
11 2 4 4.427969 501.017151
9 5 4 4.252247 298.218903
8 6 1 6.584666 199.411652
17 4 1 6.414811 874.697266
7 8 5 4.723095 90.343399
1 10 2 4.769380 658.153564
1 7 3 5.968165 326.351990
17 9 4 4.369311 677.941772
2 11 2 4.616827 735.460938
18 12 3 5.940963 741.484497
11 1 2 4.432606 262.727417
4 3 4 4.318658 653.036133
8 2 1 6.335304 22.203732
9 5 2 4.411383 792.623840
7 6 1 6.425756 114.845230
13 4 2 4.185649 137.498840
5 8 5 5.244421 179.400101
19 10 2 4.163368 980.875793
3 7 5 5.267864 31.247711
15 9 4 4.326681 850.547485
21 11 2 3.986925 333.486786
16 12 4 4.122984 521.357056
18 1 2 3.950185 901.356628
3 3 2 3.757811 327.788940
7 2 1 6.906773 635.674927
12 5 2 3.738851 247.779770
10 6 2 3.691719 442.988953
15 4 3 6.390685 303.878540
13 8 3 6.202197 432.329041
6 10 3 5.955674 106.423820
14 7 3 5.898531 68.592720
7 9 4 4.266908 819.852905
13 11 2 3.728014 658.423218
20 12 1 6.824553 783.715454
2 1 3 6.105667 70.426765
7 3 1 6.324488 608.900635
14 2 2 3.706520 57.290546
5 5 5 6.123730 741.948547
16 6 1 6.069932 340.816437
7 4 3 6.253969 589.355164
16 8 4 4.353154 229.049225
11 10 4 4.297595 522.626099
16 7 3 6.018501 123.121902
20 9 2 3.860266 52.740376
9 11 5 5.931897 104.105354
12 12 1 6.059173 392.062073
20 1 4 4.224310 54.109348
17 3 4 4.212195 269.647308
19 2 3 6.043774 19.551750
10 5 5 5.953577 335.070374
3 6 3 6.067184 66.750679
19 4 4 4.181876 548.079407
10 8 1 5.992343 300.413666
14 10 2 3.984478 225.110107
14 7 2 3.942051 649.957703
16 9 3 6.203435 210.631378
9 11 5 5.985845 154.910919
3 12 5 5.913844 925.785278
13 1 1 6.055057 827.133057
9 3 1 5.690106 291.283264
18 2 3 6.309728 424.659637
10 5 3 6.100999 295.854980
14 6 1 5.635149 724.722229
20 4 3 6.030319 369.684448
6 8 4 4.422128 14.457294
15 10 2 4.083204 729.467407
12 7 3 5.933033 123.615463
9 9 4 4.474884 254.191971
12 11 3 5.902356 863.145508
16 12 3 5.562616 291.292480
6 1 4 4.492392 127.988083
18 3 1 5.588220 602.281494
21 2 3 5.515638 236.798874
