Nombre_Apostador  Cantidad_Total_Apostada  Ganancias_Totales  Beneficios_Netos
Apostador-1 137.765717 270.242706 132.476990
Apostador-2 440.550140 773.715881 333.165741
Apostador-3 502.684052 1118.374878 615.690796
Apostador-4 214.773499 855.666565 640.893066
Apostador-5 619.623657 1302.344727 682.721069
Apostador-6 425.458099 1081.790405 656.332275
Apostador-7 258.334320 645.664185 387.329865
Apostador-8 238.130600 0.000000 -238.130600
Apostador-9 410.605194 376.786682 -33.818512
Apostador-10 169.194504 2263.790039 2094.595459
Apostador-11 334.453339 866.010620 531.557251
Apostador-12 496.735901 2478.315186 1981.579346
Apostador-13 450.919861 582.724609 131.804749
Apostador-14 452.909607 1069.081055 616.171448
Apostador-15 682.833801 912.393921 229.560120
Apostador-16 429.761017 2309.721680 1879.960693
Apostador-17 703.189819 1726.451782 1023.261963
Apostador-18 378.897644 1795.086182 1416.188477
Apostador-19 251.629547 236.662720 -14.966827
Apostador-20 765.159790 1308.958862 543.799072
